Percent   Localization     Time
 0.025219  137.060307  0.372004
 0.030702  142.942434  0.367978
 0.017544  138.533443  0.361990
 0.036184  133.842654  0.366057
 0.117325  115.853070  0.363971
 0.143640  115.245614  0.362984
 0.106360  121.503289  0.364024
 0.171053  115.804276  0.378946
 0.070175  126.016996  0.362029
 0.041667  122.870066  0.402960
 0.025219  126.748355  0.366018
 0.025219  129.584430  0.367018
 0.026316  127.488487  0.362029
 0.104167  118.603070  0.373003
 0.026316  124.994518  0.374999
 0.024123  125.964364  0.378025
 0.020833  125.583333  0.375959
 0.016447  130.685307  0.363989
 0.020833  139.632675  0.359072
 0.038377  155.669956  0.360994
 0.027412  156.201754  0.248298
 0.035088  158.550987  0.256278
 0.018640  123.724781  0.400868
 0.031798  132.348684  0.363024
 0.015351  135.461623  0.367019
 0.015351  134.796053  0.377979
 0.021930  127.460526  0.369979
 0.037281  144.600329  0.260303
 0.046053  140.156798  0.254316
 0.039474  141.623355  0.242316
 0.029605  150.039474  0.367020
 0.031798  129.567434  0.374938
 0.023026  126.590461  0.364983
 0.027412  132.197368  0.361067
 0.012061  130.707237  0.360996
 0.060307  126.412281  0.361034
 0.039474  137.607456  0.369974
 0.013158  153.995066  0.254321
 0.020833  148.231908  0.248361
 0.019737  131.138706  0.358008
 0.017544  121.440241  0.379947
 0.027412  122.860746  0.377988
 0.017544  124.788377  0.373961
 0.017544  123.761513  0.368974
 0.021930  141.489035  0.248300
 0.020833  139.873355  0.251291
 0.031798  123.447368  0.362993
 0.032895  123.825110  0.361020
 0.021930  137.136513  0.396896
 0.027412  154.433662  0.377953
 0.067982  175.434211  0.360996
 0.023026  163.521930  0.360035
 0.058114  127.098136  0.357005
 0.039474  129.289474  0.358004
 0.050439  139.811404  0.257275
 0.033991  144.413377  0.262300
 0.033991  147.070175  0.257273
 0.026316  144.646930  0.249297
 0.047149  133.451206  0.248299
 0.052632  120.651864  0.374961
 0.020833  134.981908  0.360997
 0.031798  129.433662  0.358036
 0.060307  121.331140  0.366985
 0.041667  122.933114  0.372968
 0.067982  123.601974  0.361991
 0.024123  122.486842  0.369010
 0.015351  132.886513  0.353997
 0.037281  128.130482  0.361032
 0.028509  123.953947  0.366981
 0.015351  122.262061  0.398932
 0.026316  131.603070  0.372006
 0.027412  133.059211  0.394909
 0.041667  132.865132  0.376992
 0.049342  126.490680  0.382938
 0.027412  129.484649  0.374059
 0.080044  125.162829  0.387963
 0.019737  126.776316  0.355048
 0.025219  130.640351  0.359999
 0.017544  128.176535  0.364060
 0.015351  129.625000  0.360036
 0.015351  129.736294  0.364022
 0.058114  121.038377  0.366981
 0.038377  121.315241  0.373002
 0.035088  133.465461  0.257316
 0.040570  127.333333  0.254280
 0.032895  133.756031  0.254321
 0.019737  126.280154  0.359035
 0.020833  124.356908  0.366061
 0.037281  123.675439  0.360037
 0.041667  127.006031  0.370968
 0.019737  126.506031  0.382932
 0.029605  125.100877  0.372969
 0.015351  127.425987  0.362030
 0.026316  121.435307  0.380984
 0.035088  132.906798  0.366977
 0.031798  124.683662  0.359999
 0.026316  123.225877  0.359003
 0.039474  128.165570  0.375955
 0.043860  134.941886  0.366981
 0.047149  131.239035  0.380980
 0.028509  125.112939  0.361000
 0.028509  123.723684  0.365983
 0.049342  124.276864  0.360058
 0.018640  161.867873  0.199428
 0.019737  158.594846  0.367015
 0.018640  146.940241  0.367018
 0.019737  139.827303  0.347072
 0.021930  131.728070  0.367982
 0.021930  134.654057  0.362030
 0.015351  139.613487  0.350065
 0.020833  132.461623  0.365981
 0.015351  133.841557  0.400892
 0.019737  134.324561  0.392949
 0.036184  137.815241  0.383915
