Percent   Localization     Time
 0.015119  109.824514  0.914421
 0.030238  120.577214  1.096006
 0.071274  119.316955  1.386378
 0.021598  119.200864  1.129695
 0.068035  112.779158  1.338514
 0.028078  123.973542  0.971925
 0.009719  112.297516  0.959375
 0.022678  113.508099  0.965310
 0.019438  113.890929  1.049413
 0.018359  125.370410  0.784346
 0.018359  130.856911  0.941314
 0.025918  110.618251  0.942602
 0.019438  108.966523  0.996982
 0.014039  139.115551  1.028225
 0.021598  115.761339  0.971936
 0.029158  117.530238  0.931270
 0.023758  122.962203  0.884200
 0.026998  115.717063  0.907310
 0.039957  135.859611  0.874749
 0.028078  111.129050  0.911946
 0.023758  121.469762  0.911330
 0.023758  119.992981  0.990477
 0.026998  111.172786  0.880609
 0.022678  122.553456  0.920101
 0.022678  115.689525  0.902573
 0.020518  129.841253  1.308559
 0.016199  114.512419  0.912076
 0.029158  123.538337  0.973803
 0.026998  118.548596  0.902773
 0.018359  116.205724  0.944384
 0.014039  122.493521  0.908489
 0.016199  114.901188  1.232152
 0.018359  109.955184  0.984695
 0.033477  114.167387  1.035162
 0.062635  142.117711  0.945772
 0.030238  131.685745  1.010219
 0.028078  122.579914  0.923873
 0.014039  124.165227  0.958979
 0.031317  129.312635  0.909323
 0.015119  132.395248  0.925462
 0.044276  131.750540  0.895439
 0.025918  121.018359  0.871216
 0.032397  121.164687  1.014024
 0.022678  120.443305  0.987586
 0.024838  116.045356  0.923468
 0.019438  126.645248  1.020968
 0.056156  124.869870  0.895632
 0.036717  132.612311  0.967228
 0.026998  121.462743  1.117947
 0.039957  119.736501  0.885183
 0.033477  118.416307  0.873919
 0.022678  123.142009  0.903280
 0.014039  114.012959  0.902852
 0.024838  120.903888  0.915084
 0.016199  108.092873  0.950563
 0.034557  125.680886  1.107277
 0.021598  120.316415  0.974007
 0.012959  116.305616  0.987232
 0.032397  123.082613  0.926693
 0.038877  126.376890  0.885599
 0.020518  114.735421  0.918681
 0.016199  117.867171  1.314022
 0.032397  121.006479  1.395519
 0.024838  115.967603  1.157684
 0.025918  128.484881  1.185073
 0.023758  124.820194  0.908490
 0.046436  130.497300  0.905633
 0.023758  121.553456  0.859377
 0.028078  122.248380  0.962503
 0.016199  118.444924  1.015689
 0.026998  114.225162  0.876158
 0.015119  111.282937  1.080571
 0.029158  125.210583  1.380499
 0.029158  121.544816  1.244615
 0.071274  119.316955  1.461132
 0.068035  112.779158  1.437826
 0.021598  110.218143  1.226956
 0.028078  122.177106  1.368692
 0.005400  128.523758  1.395482
 0.011879  111.544816  1.426493
 0.032397  114.808315  1.188762
 0.018359  123.706803  1.131962
 0.032397  116.047516  1.154979
 0.024838  124.283477  1.273395
 0.032397  129.760259  0.875872
 0.037797  123.746220  1.142354
 0.034557  122.544276  1.198897
 0.033477  139.991901  1.132124
 0.019438  116.786177  1.141424
 0.037797  120.038877  1.224221
 0.030238  132.400648  0.939353
 0.028078  114.026998  0.984663
 0.034557  123.216523  1.232693
 0.032397  143.632289  1.386951
 0.024838  124.760259  1.345921
 0.036717  123.838553  1.335151
 0.021598  115.827754  1.158244
 0.041037  146.319654  1.357986
 0.030238  124.799136  1.108290
 0.030238  118.915227  1.362700
 0.036717  123.633909  1.262410
